from,to,cost
4588,9418989,7.511
29033,1369717,7.772
7543298,21089,4.745
28320,9837094,5.985
6715133,12730,6.959
6653618,17835,7.509
7717407,9249834,4.61
21540,9705163,4.687
18471,15962,6.943
9866060,15520,7.969
23906,20117,6.19
12272,3877256,4.591
16734,11746,5.125
17884,3741192,10.171
20370,14931,5.662
9078673,7415702,4.487
16195,19453,5.268
29665,7464010,7.839
7527730,7855508,9.592
7117515,560,4.921
22689,9303235,5.564
9564853,9048545,4.515
6122,9101446,4.163
7697554,14427,8.927
8982,7300816,4.361
7530935,9641,4.377
17787,18471,7.159
2781484,9372946,8.185
44912,1600,12.159
6225985,139238,7.456
15849,18215,8.741
8247,4236580,4.816
7304,18467,4.462
5193,9413243,6.047
39713,9750550,5.257
9321489,29033,5.056
11819,7304,5.986
1428,27006,12.083
17835,24406,8.818
17787,21741,9.546
21540,7415788,6.787
7994125,7218,4.706
21807,7445202,4.771
19453,18961,4.941
7716770,31762,8.112
9427554,27423,4.5
4403,8443,4.858
7196,9322531,4.257
1358316,9569766,5.044
21774,4251,8.587
12735,22225,8.941
22098,5321468,9.668
45685,9692517,8.385
18215,22780,8.583
9272690,107,6.604
7994257,9473700,7.65
19038,1370650,8.374
22545,13030,8.758
1378724,15825,10.076
20397,24570,7.282
728535,9427554,8.493
9187669,9743464,8.259
9817123,26194,11.772
1374656,23906,5.739
9670386,9048545,7.328
7466315,3503526,4.903
3529592,29289,10.689
2232,7994206,6.181
17027,7531362,6.986
29665,1370650,5.084
58394,8648,5.856
9424598,9641,4.906
22487,1373242,6.806
43986,43986,4.163
9007822,130389,7.332
9303235,11495,4.771
7415788,7185545,10.715
31392,2658,4.354
9322450,1373153,7.999
221,7994150,4.163
7416717,9686177,7.798
237,9575820,7.403
188980,1373900,9.562
5607094,20397,6.834
30276,237,4.586
1367072,7768869,6.922
13,1394045,9.146
9719300,446947,4.965
9215670,75272,7.981
9303189,9053069,4.834
9866060,9743464,8.826
17861,59102,6.239
6715133,7703260,7.754
19569,17811,8.581
17264,705187,11.391
17803,1377302,11.201
9687564,28184,4.46
9367136,17329,6.391
57851,9598,6.464
13684,9071407,7.226
9307303,9705236,6.967
17566,681164,8.372
CB,18910,2.857
7137,7519672,6.639
41752,14397,8.927
9146946,27154,4.779
8982,9600876,4.552
20052,17662,6.623
9708685,20784,9.952
7685912,14958,6.644
9817123,9512691,4.906
19038,27006,12.132
15520,9598,8.176
14969,16675,7.011
6785,4815700,5.92
9866060,7855362,5.152
12730,9048545,4.472
9303235,7522452,5.178
4224701,13323,8.782
9322531,7529279,4.969
7527730,39507,9.914
9789138,1182323,4.678
7811152,4815700,5.429
19712,9812105,8.118
30632,7710011,4.983
23248,9527800,7.424
9346910,9670386,7.681
5550,9743464,7.869
7970030,31100,5.34
143359,3503526,4.512
17094,9527826,10.981
17736,9193677,8.525
20828,27006,8.349
8247,6407889,5.332
9705236,44030,7.247
5089549,7193670,7.665
9812105,18589,7.797
17876,22780,10.648
12998,4375,6.455
4404,9836209,5.87
4588,3645940,8.194
9559973,19615,6.41
9445340,1371665,4.712
9099,6407889,5.535
20052,25240,9.093
17361,12733,6.141
7466315,2658,9.46
7007175,5089549,5.463
9833510,9686177,9.97
9789138,7690126,5.553
20397,16357,6.548
7466315,1367072,6.579
560,7710011,4.989
396,2224,9.752
9473700,19690,9.819
9101446,21764,4.427
11746,3503526,5.095
9687564,11790,7.254
11444,9631810,8.938
15826,43323,11.685
5460,9598,5.61
2781484,1376152,7.442
18476,47333,10.1
9443819,7530935,4.397
6873332,19100,7.548
9909893,7196,4.515
7855362,21774,4.775
4839,1358324,5.715
16802,7855494,6.19
1358324,9517910,4.569
90565,9111654,6.515
7543298,143359,4.981
7886284,3671461,5.878
12730,20095,6.751
14370,14969,5.047
9111867,9193448,5.22
9842373,18589,4.505
28688,9291474,5.803
9872426,118818,8.238
45558,27006,11.741
3568229,20265,6.775
44030,6759009,4.731
4535162,5550,5.674
39507,10239,4.542
8788,9303235,4.96
30962,2338530,9.971
17835,9424598,8.72
27488,27050,6.902
7886284,5317886,7.293
9844511,3645940,5.382
5959,7117515,4.853
9079254,27050,6.136
27340,9146946,5.457
6742,5460,5.335
20370,7716770,4.952
9833510,5711819,4.819
9155490,21685,4.812
7811152,75272,4.74
7218,3093530,4.749
25402,9905855,4.309
9835458,18476,8.31
8788,1376616,5.604
7347928,6725953,8.204
11304,7196,5.251
21764,7439873,5.12
7710020,4359,8.131
30286,27537,8.218
19658,30276,7.984
638560,3093620,5.66
7141840,1371266,7.081
19950,7165536,9.833
6725953,9745980,4.654
39713,83399,8.162
9598,45523,5.095
6946879,9099875,9.679
45507,9155490,5.612
39725,3202,8.936
24910,7909381,10.274
12272,12735,7.321
9215670,15962,7.221
7415788,73075,6.756
17788,7304,5.986
1374656,9112774,6.397
6785,6725953,4.756
57851,80675,5.287
9921389,7165536,10.413
29384,34606,7.884
107,9473700,5.857
15563,9705163,7.815
81817,7377444,5.795
24406,7685912,5.307
9193464,23248,9.041
90565,9347186,5.924
30286,9317627,4.438
1370650,19038,8.487
15415,21089,6.988
6946879,9598,4.287
9303235,57851,7.246
9215891,8254,6.975
17259,7994320,9.837
9413243,4375,8.642
25116,17566,6.779
40053,17787,5.799
9074015,17861,5.773
9372946,3611,10.134
19542,15822,5.833
42035,9750550,4.163
56502,6237,6.499
9185470,5404711,5.54
7117515,28688,6.503
15717,19038,7.996
9053069,9193090,5.497
9216073,4555732,6.825
75272,39713,4.8
5035449,60402,6.607
41752,57851,7.179
5053,5460,4.815
7686811,18476,5.543
5053,9844511,7.15
9750541,560,4.99
3271,81817,7.022
5460,2205,8.51
17855,4600,6.824
9249834,4555732,7.11
7994125,8648,4.384
9835440,24570,11.824
5193,9372946,6.398
1528092,11622,6.316
22487,29092,5.107
20265,14249,7.925
9329781,11304,4.647
14958,9112774,7.98
9867651,3741192,4.753
6800467,9071407,8.941
4224701,7977336,6.47
17835,9007822,6.93
7527730,9670386,7.214
9750541,42035,4.163
9317627,31100,5.34
16357,3657469,8.371
15826,1373153,7.908
9705236,9447342,4.251
7466315,3671461,5.459
21540,13170,9.742
8648,13323,10.94
61190,7974698,6.048
OD,7377444,3.71
1182323,7519672,5.392
9631810,9517910,7.516
1371665,1150294,11.494
9527800,25429,8.318
16925,9112774,5.525
12730,18287,6.793
9193448,27000,7.445
45599,9527826,6.533
1488120,15825,9.997
7811152,45507,6.108
27162,9424598,8.27
15825,45558,6.79
SD,355763,2.857
30292,9564934,4.779
4236580,80675,6.226
17426,22098,9.903
17811,9215670,7.164
4394,79030,5.193
12735,27488,8.212
14397,7141840,8.217
8907,61190,4.644
7983883,7811152,5.35
55492,28797,7.778
17788,18910,8.477
5775655,2860,10.614
9303235,7878826,6.058
7685890,9564853,4.773
7878826,13030,8.17
1375717,9193391,4.549
19690,6741339,6.75
20265,2788,6.355
6379915,7347928,8.411
CB,7797036,2.857
16411,5321468,7.711
9877045,7527730,4.954
1373153,28991,5.535
16438,19038,5.997
9193391,1377302,6.411
15415,41143,11.095
31089,5124417,7.591
15520,5959,6.616
14958,251,6.816
28184,3529592,10.138
20784,1370650,8.471
4105885,9303235,5.459
9833510,9071407,9.759
9812075,9215891,7.93
28688,61190,5.424
9569766,60402,5.011
12377,44030,6.892
3503526,75272,4.759
21540,61190,4.702
25119,9812105,6.266
7886284,24570,11.894
5404711,9053069,5.78
29742,43986,5.99
9473700,3093530,5.176
7471,7686790,6.136
9000020,31100,10.77
2781484,4809220,7.179
15520,1482505,11.16
9291474,9825096,5.051
9193642,9703810,8.873
7415788,9071407,9.736
9877045,9215808,10.081
9564861,1482505,4.577
1373153,20784,9.63
7855362,7587,6.207
7519672,4226348,6.913
7381182,7977336,5.784
9631810,3585905,8.531
1899,4347390,8.551
17788,7974698,7.258
638560,7347928,7.386
7686790,6946879,5.024
20630,96741,6.755
3877256,11444,5.34
9908978,9837094,5.302
10170,19658,8.539
3225143,13420,8.073
1141902,24430,5.675
1369717,26247,10.922
7218,6122,5.235
7300816,9074015,5.616
18471,3503526,4.835
4618,3107558,4.163
11746,17835,7.49
53,25348,5.322
4404,7042108,5.722
8133,5460,5.741
1360604,15823,4.775
20828,30276,4.549
13420,7416717,9.084
80675,18689,6.173
9842373,9776370,7.315
17426,12735,5.259
8133,1528092,5.738
15520,7543298,8.117
14354,9758593,5.532
6800467,12882,7.994
3503526,6610,4.75
20784,9559973,9.554
9564861,9812105,5.438
4224701,3209,7.114
7466315,9074015,4.721
1369717,9445340,7.402
7970030,9193677,4.799
14834,1394045,9.007
9598,157023,4.541
8672,21540,4.57
7685912,681164,8.364
15067,24694,10.035
2534,1373390,7.584
6785,9366083,5.051
12377,123838,10.579
17361,15849,7.766
9575820,20346,5.22
4809220,7471,5.188
15563,7331,9.125
9022228,31392,10.309
2781484,41752,8.194
6742,13927,10.412
22098,1360604,4.319
7258321,24503,9.997
7439873,5711819,4.692
5035449,5193,7.375
5959,7543298,5.564
16438,9346910,7.245
3529592,9564861,7.933
27050,7659652,8.077
6742,7338872,5.395
27423,9291474,5.455
7909306,24694,11.77
60402,3195,5.297
20346,19100,5.392
70610,27057,5.171
4400,3645940,5.498
7466315,45685,7.011
9842373,20087,6.17
6946879,1367072,6.341
17788,9772812,6.217
1373153,3202,5.245
19534,7258321,10.19
CB,8133,2.857
16802,7196,7.386
3093620,39713,4.745
21768,14969,9.16
19534,8254,7.321
9598,5320,5.844
9867651,22098,4.722
16438,9670386,4.807
20397,19720,6.856
7042108,5959,5.323
1370626,9474960,5.359
1182323,7445202,4.88
7415745,7353626,5.696
16640,30286,7.634
18910,30292,6.899
9427554,7994206,10.552
43986,15825,6.25
7047096,9303235,5.922
446947,7389353,5.396
22689,17736,8.526
11495,7529279,5.535
29384,4563409,5.242
80675,4251,6.681
3093530,17426,7.835
6103588,1394045,9.679
5959,9099875,9.382
31941,10239,5.895
9111654,19496,6.482
25119,30546,11.552
41143,7530935,4.952
7710011,7878826,5.863
21547,9317627,4.274
29665,29665,4.163
3611,7994230,7.393
73075,9598,4.287
5320,5550,4.638
5556937,7685920,6.367
11746,9111654,6.602
25348,14354,7.998
7543298,17259,4.469
3671461,7690126,6.344
9303235,30632,4.418
15822,10090,8.427
OS,3161579,2.857
705187,19690,7.916
5959,6157,4.873
15563,10170,7.932
5607094,9670386,6.421
9687564,20400,7.119
45507,9296,6.085
7531362,21774,8.047
7415788,10339,6.341
12272,5959,5.851
30292,15032,7.722
9147128,9402225,7.336
3645940,7855362,4.6
9291474,2781956,6.177
107,9079254,4.538
9427554,48097,7.816
7519672,7129,6.683
7196,2658,9.582
11790,53,7.263
9457224,12272,5.192
7141840,27340,8.546
7531362,4805712,8.701
1376616,9053069,6.249
1394045,9670386,9.808
15849,20630,9.459
9347186,8443,7.809
7635010,7878826,6.051
8250,30632,4.569
130389,20400,8.256
22098,45599,4.511
9207775,17662,10.248
18961,9007822,6.22
143359,107,4.6
7797036,7703457,4.695
1382438,9805192,11.171
18689,19897,9.61
6610,9413243,5.377
90565,9699864,11.898
6610,45523,5.575
4105885,7416717,9.947
15067,9146946,11.18
7855362,83399,7.888
16411,14427,7.066
7543298,3209,5.378
6379915,12831,10.059
4236580,9071407,9.585
9758593,7914512,9.649
5364213,16675,9.725
653080,12377,8.944
31941,40053,6.475
17736,23248,9.563
7196,9600876,4.924
4535162,2781484,7.512
7117515,9789200,5.27
7686811,15962,6.986
9837094,6225985,6.022
7254830,30465,8.499
9322531,9789200,4.41
29742,9050868,6.228
6785,8907,4.901
7271247,9772677,7.388
9347186,6759009,9.238
29858,7909306,5.678
9772677,19038,8.292
4359,4338723,11.583
21685,5035449,7.079
19658,17835,4.983
5775655,7347936,10.051
30632,79030,4.332
4224701,17803,6.184
3225143,9022228,4.434
31100,1379682,8.002
7522452,4839,5.606
9835148,6033822,5.901
6727468,7983883,5.987
5124417,9564810,6.953
9215891,7464010,4.667
10242,4809220,5.587
22474,17417,7.988
9469486,9079254,6.059
3225143,9705163,5.225
7797036,11495,4.841
9866060,9866060,4.163
7303718,7507518,4.529
15826,28967,8.111
11304,4403,4.707
7945256,27154,10.872
15563,20117,10.096
22487,9900411,10.99
9833510,4226348,6.492
1360604,7685912,4.808
24503,8254,7.06
9146962,23906,7.821
18287,7685920,8.065
1374656,9776370,5.565
7855508,9490493,4.319
10170,1376616,6.408
2186,4251,7.387
9413243,7466315,5.719
7338872,3225143,5.799
11444,3877256,5.363
OD,17803,3.71
14931,14443,5.946
169846,9329781,4.604
6700,1376616,5.689
7634994,3638,10.039
6157,7331,6.067
15849,7685890,9.23
7522720,29742,6.289
11304,45483,5.984
7686790,10090,4.738
20795,9322450,8.931
9641,3657469,8.905
OS,15067,2.857
57851,75272,6.848
12377,20150,9.294
5975,9763449,9.292
1371266,9216073,8.355
9877045,19712,6.008
18589,14249,7.835
560,5053,4.568
9193090,6122,5.146
9427554,7415702,5.144
41143,7779771,8.187
2591332,9000020,5.461
19658,3209,8.598
17855,2534,9.226
27162,25429,9.016
7779771,9000020,8.294
355763,9569766,5.589
9835458,3743,9.6
2658,2763,4.982
83399,6103588,10.619
9833510,4600,7.594
9835458,9071407,6.202
15415,7686811,6.243
7347936,4347390,6.271
25429,23442,9.887
8907,45523,5.061
4563409,9372946,5.559
45558,45556,9.241
7897936,9032240,6.322
9007822,19690,5.479
8443,9272690,6.053
10090,7415788,6.033
25116,9322531,4.385
1182323,10242,5.623
4839,7994320,8.625
9909893,9877045,7.81
70610,9527826,7.882
9193448,9111654,7.369
1369385,24805,8.138
7690126,1528092,6.9
30287,1604694,5.602
19615,9926062,7.304
17259,7510,5.304
7519672,4236580,5.0
30632,6610,5.28
19453,9921389,5.066
7525460,9670386,7.318
15822,9249834,6.127
9291474,9366083,4.382
19950,96741,6.487
7117515,9598,5.393
19534,9921389,4.888
39507,11790,4.448
9926062,1371266,5.591
9099875,6103588,7.885
OS,7232403,2.857
19100,31762,8.291
1482505,7779771,8.159
9569766,3719,9.135
10170,4815700,6.204
4535162,7415745,4.869
24805,23442,9.309
2781484,12998,8.521
9543414,9111654,6.906
9272690,9291474,5.731
9750550,27423,5.164
19542,7525460,7.529
4519876,18471,5.921
12735,9564934,9.124
19542,9835458,8.237
1389742,7909322,9.271
9705236,6759009,7.536
6653618,9719300,7.505
CB,11746,2.857
9216154,8254,7.11
11304,5035449,7.222
4403,17426,6.844
31100,18910,7.864
20095,22098,6.653
7527730,7531362,6.979
3675009,9708685,12.115
45483,9427554,5.746
22474,24147,10.548
9772812,9833510,5.127
4226348,45523,7.06
9772677,24562,5.548
152323,184969,4.67
19658,9519319,8.143
3877256,7994257,8.531
9719300,9185470,4.913
7703457,18689,4.737
7304,3093530,4.658
7445202,11444,5.952
9215670,1376152,7.984
9101446,6237,5.44
1378724,70610,9.202
7338872,7659652,9.116
9909893,21774,4.163
19615,7530935,6.665
14427,1369385,7.883
6725953,6785,4.757
4404,57851,7.294
15563,355763,8.232
7415702,7925662,4.468
17417,1369717,8.331
24430,23442,6.166
6379915,18467,5.055
14451,14427,4.163
6237,9099,4.557
7717407,17787,6.925
6090206,7445202,4.866
9745980,9372946,5.727
6946879,5775655,4.548
24694,9699864,6.784
9763449,9143793,11.048
25348,9559973,5.475
27423,7811152,4.953
9215670,9215891,6.445
7992912,17307,6.02
7635010,9215670,8.618
9877045,4519876,8.907
7797036,4347390,11.638
7297858,9398937,8.726
3741192,15067,7.364
22606,1379682,6.972
18215,7970030,8.542
30276,20828,4.548
28688,7659652,9.075
7690126,19897,8.5
9670386,27057,11.474
90565,6873332,7.355
9099,3093530,5.535
9750550,5775655,4.676
7185545,17662,4.736
6208169,25240,10.675
1369385,28184,7.423
9053069,2186,10.574
7471,9296,5.646
5035449,31100,11.865
7377444,31392,7.49
9366083,8133,4.748
9111654,4519876,8.408
9007822,19569,5.814
7716770,22780,7.227
20117,31100,6.929
17835,7703260,6.021
9835440,20828,8.75
28184,26115,10.91
17426,11622,5.935
7716770,17027,6.221
9307303,25119,7.371
9207775,17876,7.413
19690,5607094,6.353
8982,143359,4.488
17094,7811152,8.264
9641,18988,7.321
5089549,9329781,4.427
1373218,20784,10.528
9671820,1379682,7.296
6208169,30287,6.641
7635010,9825096,5.031
3201,4400,4.796
1376152,10339,4.864
30632,6237,4.826
3201,2205,8.884
9424598,16640,7.836
39507,14206,8.922
4404,6700,5.193
9101446,17788,5.746
29742,7897944,4.163
16438,16357,4.163
8254,5321468,9.667
7897944,152323,5.951
7543298,9053069,5.351
9835148,19038,8.617
3568229,9900411,7.062
60402,12735,8.014
15520,59102,5.971
14969,9225749,8.208
7948115,9734880,4.506
9186212,9877045,7.103
81817,4338723,6.648
7543298,6237,5.677
7659652,19100,4.92
3671461,3585905,5.624
27423,2776880,5.465
24503,5556937,6.753
16640,7464010,4.394
6725953,7042108,4.937
9638857,9193464,9.728
20828,9763449,7.355
15849,1370650,9.498
1370650,7271247,7.578
19950,7679050,4.881
9758593,9514902,8.345
9835458,9272690,8.448
7519672,17361,6.812
6785,10170,4.868
19100,20150,6.348
25119,3202,11.002
27057,7530935,9.066
7529279,3093620,5.616
5321468,15520,6.825
17264,24147,10.519
7797036,10090,5.049
2965712,18988,5.294
5775655,8788,4.471
5320,2275,10.901
9789200,7117515,5.28
9490493,5321468,9.539
3093620,728535,8.412
9772677,9564934,4.223
9833510,17835,8.182
8648,6379915,4.688
9146946,6767486,8.745
27472,43323,6.146
SD,83,2.857
7047096,14370,10.893
25240,7530935,7.41
14427,96741,8.408
14308,9215670,7.047
9111654,1358316,8.361
13323,19897,9.321
13170,4226348,8.361
7797036,4251,8.301
10090,4563409,4.91
14969,23442,9.242
24341,19542,8.253
5975,3190,11.269
3161579,30155,4.886
6379915,9745980,5.021
3675009,24570,11.609
7527730,15849,7.192
9367136,17566,6.043
7878036,24430,8.935
9844511,9099,5.511
12998,12882,5.283
7977336,157,5.015
4600,6610,7.537
17426,3568229,10.115
9836209,41752,8.656
9564934,9835440,9.115
14688,22780,4.378
15067,18880,6.745
7525460,21741,4.305
3209,7521871,4.973
107,6946879,5.024
4375,15563,8.258
9569766,7703317,8.562
5720,7471,6.916
15823,31762,4.733
25240,9687564,9.719
9877045,7415788,5.569
7331,6407889,5.565
24503,9699864,11.864
8133,2205,9.25
7948115,9225749,9.553
7381182,13420,9.388
17876,6727468,7.995
31941,18961,6.475
10146,59102,5.856
3271,1373560,7.022
7948115,9193090,5.508
681164,9207775,5.913
9074015,14969,10.446
9734880,7415702,5.743
9833510,3209,5.014
21121,7530935,5.766
9317627,28184,7.031
1358324,12831,9.027
4403,5035449,6.682
7685912,237,5.034
5711819,9022228,4.961
169846,19496,9.324
9216073,41279,11.091
6700,39228,6.755
7634994,6033822,4.374
17736,16357,6.968
45507,15032,10.022
21540,47333,9.868
9372946,7521871,5.671
1371266,14206,9.903
6873332,18910,7.112
23442,9307303,4.458
31941,27162,9.714
7415788,17566,4.315
OS,27448,2.857
9239685,6090206,4.257
6742,9866060,5.151
19496,19690,4.807
7193670,9427554,8.042
7679050,6759009,7.467
9071407,6653618,7.585
4105885,21774,4.706
9193642,7165536,6.069
23906,15822,8.717
7925662,13447,8.489
16802,560,7.616
14834,21741,7.441
251,1373650,5.021
17566,6237,5.589
3529592,1141902,8.102
4105885,9322531,4.48
31941,9543414,5.727
29742,1373218,7.482
17264,6379915,6.721
8648,9418989,4.385
11304,5089549,4.566
7686811,7047096,5.438
5975,7994230,11.269
5404711,7977336,6.107
7690126,3201,5.384
17259,8443,4.595
40053,3568229,8.078
7839804,3093530,4.648
7471,9909893,5.525
7218,45483,4.913
5363,9705163,5.576
9296,18471,4.7
5320,9719300,6.102
17876,6742,6.539
7925662,9073973,5.569
7909306,1428,4.163
28688,446947,4.743
16438,90565,5.228
OD,9398937,3.71
9207775,3195,6.946
9789138,17811,5.44
19712,19453,4.381
17329,21807,7.589
9699864,1428,9.174
14308,9737308,8.993
17876,705187,11.415
6741339,1373900,4.506
21774,7338872,5.932
27050,9600876,6.828
9598,12831,9.733
34606,7522452,8.053
15520,75272,7.946
9207775,4394,7.794
9772812,75272,5.332
9073973,4815700,5.943
6007,9543414,7.705
9111654,7415745,7.036
18880,9527826,9.245
27057,41279,4.163
9079254,132,5.212
132,15415,6.957
132,9835148,5.33
19658,6907733,10.649
7389353,21540,4.591
9291474,7634994,4.383
9789138,56502,5.172
7381182,9193391,9.821
30286,21008,4.783
6670,9598,5.395
3741192,1373900,4.364
7914512,9565000,7.799
16608,7141840,6.694
10170,7974698,6.604
21547,6907733,6.962
7897936,7254830,6.371
5364213,7415788,6.53
1358324,6407889,4.569
9193340,2200,11.633
7300816,9600876,4.595
9641,9146946,9.175
9347186,8133,7.931
15822,13927,8.078
560,7860471,5.669
9101446,446947,5.364
15826,9032240,8.282
9346910,9143793,11.527
17361,41143,10.171
9193677,45556,10.121
5720,2763,10.67
1378767,9772677,4.51
17884,9833510,6.849
OD,29033,3.71
16734,13420,7.806
15823,20150,7.179
9705163,7751524,5.335
6742,7977336,4.326
20150,24430,7.651
6941206,4236580,4.632
9835458,6157,7.234
21807,157,4.776
41279,9193677,8.979
9836209,4535162,5.393
7141840,24430,6.732
8982,19658,8.752
26247,29033,8.157
1488120,17417,9.997
5363,157023,6.236
9303235,9053069,6.166
2591332,7945256,7.132
9469486,4347390,10.423
1378724,9559973,8.684
9564853,16925,4.583
8250,2658,10.265
26115,9905855,6.107
446947,9789200,5.028
15717,9686177,8.431
28525,7878036,10.94
7685890,7779771,7.857
18467,6727468,5.825
7141840,19615,6.479
45507,5460,4.823
7519672,1375717,10.278
188980,9106464,10.223
7117515,8250,5.953
7768869,7353626,5.696
4618,21089,7.339
8443,7768869,4.562
4400,1376152,4.827
7381182,18471,5.818
17876,9926062,10.869
7811152,5775655,4.463
1360604,9527800,8.04
1167510,17855,4.949
9559973,7969961,4.966
7886284,15520,8.012
10090,83399,7.888
11304,7522452,5.161
18961,1379682,10.435
7703317,9216073,6.608
4359,7300816,8.182
9111654,27000,10.39
9670386,14354,8.604
9705236,1378724,10.847
9835148,21685,5.361
4618,16734,7.983
31392,7471,9.12
1367072,73075,6.356
9564810,27448,8.438
5321468,15822,7.856
7797036,9296,4.679
9737308,9307303,7.329
9291474,7522452,4.552
17329,23442,10.032
1370650,28184,7.333
1371266,16925,6.067
70610,19542,8.253
31941,14206,7.553
9900411,6741339,7.437
5550,5317886,5.329
7527730,16802,4.238
20150,9671820,6.507
7271247,26115,11.152
560,45507,5.423
7218,3189317,4.924
56502,7994320,9.071
9366083,7466315,5.332
11495,9347186,7.656
9000020,9564810,10.326
7304,7527730,7.563
7686790,22545,4.962
11790,9812105,5.063
9215891,40053,5.688
5321468,3743,10.504
638560,9073973,4.163
OS,8254,2.857
21807,7860471,5.669
13030,9743464,8.021
1378767,14969,9.297
3645940,16195,9.626
15962,16608,7.362
43986,7909390,5.692
1373650,11790,4.764
7768869,9053069,5.963
15717,28184,7.344
1790,3225143,4.978
8247,4815700,5.978
7232403,9071407,9.039
7519672,9322531,5.109
18910,17884,7.267
1141902,20346,6.561
7389353,9745980,5.202
9758593,7685920,9.067
7811152,9750541,4.519
6379915,7994125,4.793
9303235,9692517,4.321
143359,9457224,4.789
16608,1370650,7.599
9905855,1369385,10.469
18910,20630,7.817
9193090,5035449,7.512
9249834,24058,6.789
4519876,5460,6.539
19496,96741,7.312
4618,11746,8.194
9112774,14931,7.378
6785,9844511,6.845
10242,3107558,6.851
705187,16675,8.411
24406,27000,6.156
19127,9143793,10.258
96741,9307303,4.548
28991,1371665,4.905
OS,53,2.857
7521871,7915624,4.911
7977336,5089549,4.475
6103537,6103634,5.658
3568229,14249,8.781
30236,9022,5.35
11304,8247,4.773
9053069,132,4.826
4400,7304,5.214
29092,27537,10.452
7381182,12733,6.04
22545,157023,5.319
5404711,2781956,6.823
705187,31762,7.668
4809220,9750550,4.257
7703317,9474960,9.071
5607094,14443,7.242
41752,9743464,7.82
9575820,24430,8.87
9921389,653080,5.645
22616,9474960,4.418
5321468,9867651,9.494
56502,34606,8.17
7415761,7297858,10.056
15962,3743,11.002
10242,7331,6.446
18476,5317886,4.616
3657469,705187,11.596
1141902,14397,8.808
41143,31941,5.96
3189317,9844511,5.887
5556937,9000020,10.812
118818,2216,7.882
143359,9193391,10.35
22225,15032,7.892
1376616,355763,5.818
1428,9046313,8.991
29742,6208169,6.88
16438,10239,6.731
5035449,5556937,11.865
11819,5363,7.306
9692517,1790,4.996
19720,9867651,7.204
18287,16802,7.271
7587,6157,6.403
9641,9705236,6.39
5053,3645940,5.968
5550,1376152,5.725
7969961,41143,4.321
9291474,2909,11.746
4338723,7303718,11.429
7527730,60402,7.152
1379682,24910,7.259
188980,21741,9.516
7855508,41143,4.564
1371266,22780,6.171
188980,6907733,7.186
9600876,5975,7.011
3093620,7300816,4.657
1358324,13,9.107
7974698,13323,9.955
9564934,5321468,10.219
24805,9321489,11.478
48097,132,7.319
9193553,9146946,11.737
1790,3585905,5.143
9329781,4805712,10.037
73075,5089549,5.003
9527826,7185545,7.235
16675,11790,7.429
14688,251,4.706
24694,27000,7.338
30962,2201,8.238
152323,45556,8.486
14308,9926062,6.364
1046659,30805,9.03
9776370,24570,7.571
15717,7855508,9.881
9155490,56502,5.61
29665,3741192,4.55
6157,4224701,6.151
17736,9111867,6.716
8250,7948115,4.923
7042108,7381182,5.04
9844511,355763,6.066
9272690,9469486,5.143
9106464,9575820,6.305
15563,16608,8.28
7042108,7522452,4.688
6033822,8990,5.311
6715133,1378767,7.393
14308,19690,5.311
16734,7886284,6.495
9836209,12998,8.745
24570,9705236,8.715
5975,45483,7.592
4809220,21540,4.163
4105885,6122,5.458
OS,1482505,2.857
18287,9638857,7.087
6742,7042108,5.335
19712,9519319,7.289
9600876,11746,4.705
4618,3189317,7.862
3189317,9833510,4.501
27537,7685912,8.571
19100,9048545,7.506
5363,10339,6.695
29858,24910,11.44
9239685,2776880,5.383
107,3189317,4.79
4809220,29384,4.782
40053,5124417,5.445
7839804,5053,4.952
17094,9249834,6.111
9631810,157023,8.285
1167510,9078673,4.732
SD,7925662,2.857
29384,6090206,4.782
19712,9443819,6.893
45483,18689,5.471
14370,20150,8.79
9193464,45558,9.243
23248,653080,6.782
21768,27162,8.429
17861,3877256,4.845
3645940,19950,9.594
9514902,30292,4.428
7466315,5959,4.701
7415788,22606,10.579
7855494,107,4.512
7994257,21089,7.515
45685,3657469,7.921
7331,9272690,6.517
7353626,9909893,5.276
6103634,6103634,4.163
9193090,7977336,4.961
5959,3657469,10.379
6122,7531362,7.552
9706437,4338723,11.583
6725953,11746,5.114
9699864,24147,9.575
188980,27340,6.352
9569766,13170,8.895
7225822,30465,8.45
5321468,9772677,10.118
9155490,59102,5.708
7531362,7466315,7.952
17835,9079254,8.21
29521,9000020,10.081
7948115,653080,9.896
18689,7915624,4.761
4815700,7389353,5.311
9346910,27000,9.176
7129,4400,5.414
1378767,728535,8.588
4555732,1370626,5.383
7415702,21774,4.995
6610,13447,8.391
9705236,19690,4.163
17426,24058,9.485
22225,16675,7.407
9317627,20400,6.73
25593,6225985,10.941
OD,2788,3.71
9101543,19569,8.187
39713,6122,5.235
20052,9143793,11.094
5404711,7860471,6.586
14451,9812105,8.94
7886284,15822,7.493
28184,17361,7.835
56502,9866060,5.002
9473700,5089549,5.369
8648,16734,4.926
7948115,7635010,5.771
9216154,12735,6.538
22606,7271247,7.326
5607094,9186212,5.833
12998,19897,8.936
18880,10239,7.006
7300816,5035449,7.323
7635010,2224,12.102
130389,9564853,6.124
7445202,9155490,5.086
3093620,9427554,4.343
19100,19690,5.006
7686790,19658,8.719
30632,17803,4.919
CB,11819,2.857
9565000,7969961,4.466
27423,4600,8.066
27162,7258321,6.316
